driver_name,code,driver_nat,circuitRef,year,round,starting_pos,finishing_pos,laps,quali_mean,driver_age,driver_dnf,car_dnf
McLaren,ALO,Spanish,suzuka,2017.0,16.0,20.0,11.0,52.0,90.32033333333334,36.0,0,0
McLaren,ALO,Spanish,suzuka,2018.0,17.0,18.0,14.0,52.0,90.573,37.0,0,0
McLaren,ALO,Spanish,yas_marina,2015.0,19.0,16.0,17.0,53.0,103.187,34.0,0,0
McLaren,ALO,Spanish,yas_marina,2016.0,21.0,9.0,10.0,55.0,101.25533333333333,35.0,0,0
McLaren,ALO,Spanish,yas_marina,2017.0,20.0,11.0,9.0,54.0,98.728,36.0,0,0
McLaren,ALO,Spanish,yas_marina,2018.0,21.0,15.0,11.0,54.0,97.81649999999999,37.0,0,0
McLaren,ALO,Spanish,rodriguez,2015.0,17.0,18.0,20.0,1.0,81.779,34.0,0,1
McLaren,ALO,Spanish,rodriguez,2016.0,19.0,11.0,13.0,70.0,80.417,35.0,0,0
McLaren,ALO,Spanish,rodriguez,2017.0,18.0,18.0,10.0,70.0,77.71,36.0,0,0
McLaren,ALO,Spanish,rodriguez,2018.0,19.0,12.0,20.0,3.0,76.864,37.0,0,1
McLaren,ALO,Spanish,ricard,2018.0,8.0,16.0,16.0,50.0,92.976,37.0,0,1
McLaren,ALO,Spanish,americas,2015.0,16.0,9.0,11.0,56.0,119.9845,34.0,0,0
McLaren,ALO,Spanish,americas,2016.0,18.0,12.0,5.0,56.0,97.66499999999999,35.0,0,0
McLaren,ALO,Spanish,americas,2017.0,17.0,8.0,17.0,24.0,95.255,36.0,0,1
McLaren,ALO,Spanish,americas,2018.0,18.0,13.0,18.0,1.0,95.294,37.0,1,0
McLaren,ALO,Spanish,red_bull_ring,2015.0,8.0,19.0,20.0,0.0,71.622,34.0,1,0
McLaren,ALO,Spanish,red_bull_ring,2016.0,9.0,14.0,18.0,64.0,67.9125,35.0,0,1
McLaren,ALO,Spanish,red_bull_ring,2017.0,9.0,12.0,19.0,1.0,65.88,36.0,1,0
McLaren,ALO,Spanish,red_bull_ring,2018.0,9.0,13.0,8.0,70.0,65.01150000000001,37.0,0,0
McLaren,ALO,Spanish,sochi,2015.0,15.0,19.0,11.0,53.0,100.144,34.0,0,0
McLaren,ALO,Spanish,sochi,2016.0,4.0,14.0,6.0,52.0,97.88900000000001,35.0,0,0
McLaren,ALO,Spanish,sochi,2017.0,4.0,15.0,20.0,0.0,96.50649999999999,36.0,0,1
McLaren,ALO,Spanish,sochi,2018.0,16.0,16.0,14.0,52.0,95.504,37.0,0,0
McLaren,ALO,Spanish,baku,2016.0,8.0,13.0,19.0,42.0,105.39750000000001,35.0,0,1
McLaren,ALO,Spanish,baku,2017.0,8.0,19.0,9.0,51.0,104.334,36.0,0,0
McLaren,ALO,Spanish,baku,2018.0,4.0,12.0,7.0,51.0,104.0145,37.0,0,0
McLaren,BUT,British,albert_park,2014.0,1.0,10.0,3.0,57.0,97.9165,34.0,0,0
McLaren,BUT,British,albert_park,2015.0,1.0,16.0,11.0,56.0,91.422,35.0,0,0
McLaren,BUT,British,albert_park,2016.0,1.0,12.0,14.0,56.0,86.52199999999999,36.0,0,0
McLaren,BUT,British,sepang,2014.0,2.0,10.0,6.0,56.0,122.25066666666667,34.0,0,0
McLaren,BUT,British,sepang,2015.0,2.0,17.0,17.0,41.0,101.636,35.0,0,1
McLaren,BUT,British,sepang,2016.0,16.0,9.0,9.0,56.0,94.73866666666667,36.0,0,0
McLaren,BUT,British,bahrain,2014.0,3.0,6.0,17.0,55.0,94.93333333333334,34.0,0,1
McLaren,BUT,British,bahrain,2016.0,2.0,14.0,20.0,6.0,91.987,36.0,0,1
McLaren,BUT,British,catalunya,2014.0,5.0,8.0,11.0,65.0,87.728,34.0,0,0
McLaren,BUT,British,catalunya,2015.0,5.0,14.0,16.0,65.0,87.8335,35.0,0,0
McLaren,BUT,British,catalunya,2016.0,5.0,12.0,9.0,65.0,84.46549999999999,36.0,0,0
McLaren,BUT,British,monaco,2014.0,6.0,12.0,6.0,77.0,77.939,34.0,0,0
McLaren,BUT,British,monaco,2015.0,6.0,10.0,8.0,78.0,77.2925,35.0,0,0
McLaren,BUT,British,monaco,2016.0,6.0,13.0,9.0,77.0,75.453,36.0,0,0
McLaren,BUT,British,monaco,2017.0,6.0,20.0,18.0,57.0,73.59633333333333,37.0,1,0
McLaren,BUT,British,villeneuve,2014.0,7.0,9.0,4.0,70.0,76.34233333333333,34.0,0,0
McLaren,BUT,British,villeneuve,2016.0,7.0,12.0,22.0,9.0,74.596,36.0,0,1
